設定檔,類別,地區,×1 (0–1.5kg),×2 (1.5–2.5kg),×3 (≥2.5kg),單一費率
30X30X3,X3 設定檔（一次訂購 3 件）,荷蘭,42,84,126,
30X30X3,X3 設定檔（一次訂購 3 件）,歐洲其他＋澳洲,99,198,297,
30X30X3,X3 設定檔（一次訂購 3 件）,"Asia & MEA 30""X30"" (76X76cm)X3",,,,147
36X36X3,X3 設定檔（一次訂購 3 件）,美國,95.85,191.70,287.55,
36X36X3,X3 設定檔（一次訂購 3 件）,加拿大,59.85,119.70,179.55,
36X36X3,X3 設定檔（一次訂購 3 件）,英國,54,108,162,
36X36X3,X3 設定檔（一次訂購 3 件）,德國,45,90,135,
36X36X3,X3 設定檔（一次訂購 3 件）,法國,54,108,162,
36X36X3,X3 設定檔（一次訂購 3 件）,義大利,60,120,180,
36X36X3,X3 設定檔（一次訂購 3 件）,西班牙,93,186,279,
36X36X3,X3 設定檔（一次訂購 3 件）,荷蘭,42,84,126,
36X36X3,X3 設定檔（一次訂購 3 件）,歐洲其他+澳洲,99,198,297,
36X36X3,X3 設定檔（一次訂購 3 件）,亞洲,,,,414
40X40X3,X3 設定檔（一次訂購 3 件）,美國,125.85,251.70,377.55,
40X40X3,X3 設定檔（一次訂購 3 件）,加拿大,74.85,149.70,224.55,
40X40X3,X3 設定檔（一次訂購 3 件）,英國,75,150,225,
40X40X3,X3 設定檔（一次訂購 3 件）,德國,45,90,135,
40X40X3,X3 設定檔（一次訂購 3 件）,法國,54,108,162,
40X40X3,X3 設定檔（一次訂購 3 件）,義大利,66,132,198,
40X40X3,X3 設定檔（一次訂購 3 件）,西班牙,93,186,279,
40X40X3,X3 設定檔（一次訂購 3 件）,荷蘭,42,84,126,
40X40X3,X3 設定檔（一次訂購 3 件）,歐洲其他+澳洲,99,198,297,
40X40X3,X3 設定檔（一次訂購 3 件）,亞洲,,,,477
48X48X3,X3 設定檔（一次訂購 3 件）,美國,645,1290,1935,
48X48X3,X3 設定檔（一次訂購 3 件）,加拿大,735,1470,2205,
48X48X3,X3 設定檔（一次訂購 3 件）,英國,108,216,324,
48X48X3,X3 設定檔（一次訂購 3 件）,德國,246,492,738,
48X48X3,X3 設定檔（一次訂購 3 件）,法國,246,492,738,
48X48X3,X3 設定檔（一次訂購 3 件）,義大利,249,498,747,
48X48X3,X3 設定檔（一次訂購 3 件）,西班牙,273,546,819,
48X48X3,X3 設定檔（一次訂購 3 件）,荷蘭,231,462,693,
48X48X3,X3 設定檔（一次訂購 3 件）,歐洲其他+澳洲,279,558,837,
48X48X3,X3 設定檔（一次訂購 3 件）,亞洲,,,,1122
